
"Location","Total Number of Issuers in the Marketplace
2014","Total Number of Issuers in the Marketplace
2015","Total Number of Issuers in the Marketplace
2016","Total Number of Issuers in the Marketplace
2017"
"United States","5","6.1","5.7","N/A"
"Alabama","2","3","3","1"
"Alaska","2","2","2","1"
"Arizona","8","11","8","2"
"Arkansas","3","4","4","3"
"California","11","10","12","N/A"
"Colorado","10","10","8","N/A"
"Connecticut","3","4","4","N/A"
"Delaware","2","2","2","2"
"District of Columbia","3","3","2","N/A"
"Florida","8","10","7","5"
"Georgia","5","9","8","5"
"Hawaii","2","2","2","2"
"Idaho","4","5","5","N/A"
"Illinois","5","8","7","5"
"Indiana","4","8","7","4"
"Iowa","4","4","4","4"
"Kansas","3","3","3","3"
"Kentucky","3","5","7","3"
"Louisiana","4","5","4","3"
"Maine","2","3","3","3"
"Maryland","4","5","5","N/A"
"Massachusetts","10","10","10","N/A"
"Michigan","9","13","11","9"
"Minnesota","5","4","5","N/A"
"Mississippi","2","3","3","2"
"Missouri","3","6","6","4"
"Montana","3","4","3","3"
"Nebraska","4","4","4","2"
"Nevada","4","5","3","3"
"New Hampshire","1","5","5","4"
"New Jersey","3","5","5","2"
"New Mexico","4","5","4","4"
"New York","16","16","15","N/A"
"North Carolina","2","3","3","2"
"North Dakota","3","3","3","3"
"Ohio","11","15","15","11"
"Oklahoma","4","4","2","1"
"Oregon","11","10","10","6"
"Pennsylvania","7","9","7","6"
"Rhode Island","2","3","3","N/A"
"South Carolina","3","4","3","1"
"South Dakota","3","3","2","2"
"Tennessee","4","5","4","3"
"Texas","11","14","16","10"
"Utah","6","6","4","3"
"Vermont","2","2","2","N/A"
"Virginia","5","6","7","9"
"Washington","7","9","9","N/A"
"West Virginia","1","1","2","2"
"Wisconsin","13","15","16","15"
"Wyoming","2","2","1","1"

"Notes"
"Data reflect issuers participating in the individual market only, and do not include SHOP or stand-alone dental plan issuers. Insurers are grouped by parent company or group affiliation, which we obtained from HHS Medical Loss Ratio public use files and supplemented with additional research. For 2017, the number of insurers in non-Healthcare.gov states is not yet available."
""
"For more information, please see KFF issue brief, [2017 Premium Changes and Insurer Participation in the Affordable Care Act's Health Insurance Marketplaces](http://kff.org/health-reform/issue-brief/2017-premium-changes-and-insurer-participation-in-the-affordable-care-acts-health-insurance-marketplaces), updated October 2016."

"Sources"
"Kaiser Family Foundation analysis of premium data from Healthcare.gov and insurer rate filings to state regulators."

"Definitions"
"*Issuer*: an issuer of a Individual Qualified Health Plan (QHP) through the State-based and Federally-facilitated Health Insurance Marketplaces (Marketplace plans). Issuers offering QHPs through the Marketplace in multiple states are counted once in each state in which they offer a QHP. Parent companies of issuers are counted in place of each subsidiary, where applicable."
""
"*N/A*: Data not available at this time."

